iter	Passed	Remaining
0	360	360483
1	538	268955
2	727	241636
3	921	229471
4	1095	218046
5	1237	204938
6	1387	196870
7	1557	193140
8	1728	190283
9	1905	188601
10	2060	185254
11	2216	182464
12	2352	178603
13	2511	176910
14	2669	175282
15	2820	173475
16	2980	172319
17	3120	170252
18	3261	168380
19	3422	167724
20	3571	166491
21	3723	165534
22	3865	164181
23	4018	163418
24	4168	162564
25	4321	161901
26	4457	160621
27	4603	159810
28	4753	159153
29	4896	158317
30	5030	157254
31	5178	156640
32	5346	156675
33	5524	156951
34	5684	156725
35	5829	156102
36	5982	155712
37	6138	155406
38	6296	155158
39	6434	154419
40	6595	154272
41	6734	153599
42	6904	153658
43	7052	153233
44	7205	152922
45	7368	152815
46	7532	152743
47	7715	153017
48	7879	152920
49	8051	152973
50	8213	152836
51	8359	152395
52	8510	152070
53	8660	151716
54	8801	151224
55	8945	150798
56	9076	150152
57	9228	149881
58	9353	149174
59	9537	149422
60	9701	149343
61	9851	149049
62	10023	149080
63	10162	148630
64	10332	148636
65	10464	148089
66	10624	147952
67	10795	147968
68	10956	147839
69	11118	147719
70	11287	147696
71	11436	147409
72	11614	147484
73	11789	147527
74	11910	146893
75	12064	146677
76	12243	146760
77	12415	146756
78	12554	146357
79	12708	146142
80	12864	145955
81	12997	145507
82	13169	145504
83	13325	145313
84	13469	144995
85	13632	144883
86	13806	144885
87	13950	144576
88	14120	144536
89	14265	144237
90	14407	143913
91	14542	143530
92	14701	143376
93	14841	143043
94	14975	142661
95	15112	142307
96	15253	141996
97	15394	141692
98	15541	141447
99	15698	141287
100	15867	141237
101	16007	140927
102	16168	140803
103	16292	140363
104	16457	140280
105	16595	139966
106	16731	139635
107	16904	139615
108	17071	139548
109	17241	139496
110	17408	139425
111	17539	139063
112	17694	138895
113	17839	138643
114	17982	138385
115	18129	138156
116	18246	137709
117	18390	137460
118	18526	137155
119	18675	136956
120	18812	136661
121	18967	136501
122	19114	136286
123	19266	136105
124	19430	136012
125	19576	135790
126	19692	135363
127	19839	135156
128	19980	134904
129	20140	134788
130	20274	134495
131	20417	134261
132	20547	133943
133	20690	133715
134	20840	133530
135	21000	133418
136	21138	133158
137	21313	133132
138	21452	132884
139	21650	132994
140	21794	132773
141	21965	132719
142	22122	132579
143	22258	132317
144	22405	132116
145	22565	131995
146	22739	131953
147	22919	131943
148	23089	131873
149	23249	131747
150	23411	131628
151	23519	131212
152	23702	131218
153	23844	130990
154	23983	130750
155	24118	130487
156	24272	130331
157	24447	130284
158	24596	130099
159	24749	129934
160	24892	129721
161	25023	129444
162	25148	129137
163	25290	128920
